teff,logg,period
3731.0,4.87,13.02
3364.0,4.96,47.476
4221.0,4.41,35.352
4294.0,4.62,34.573
3886.0,4.45,18.931
3726.0,4.47,14.702
4168.0,4.38,12.715
4099.0,4.79,23.831
3405.0,4.91,40.373
4175.0,4.37,26.158
4394.0,4.57,23.539
4359.0,4.54,24.324
4313.0,4.26,10.802
4260.0,4.58,29.555
4366.0,4.8,45.337
3969.0,4.39,10.925
4071.0,4.44,17.456
4194.0,4.64,27.077
3549.0,4.9,17.267
3426.0,4.9,47.076
4311.0,4.66,17.531
3830.0,4.74,37.868
3668.0,4.79,23.058
3955.0,4.72,28.01
3451.0,5.01,41.747
3934.0,4.72,11.447
3879.0,4.55,23.035
3780.0,4.77,21.284
4098.0,4.52,3.564
4266.0,4.61,23.615
3701.0,4.83,16.18
4273.0,4.76,43.778
4359.0,4.55,8.937
4091.0,4.62,34.659
4118.0,4.66,14.811
4235.0,4.53,15.091
3657.0,4.88,17.958
3989.0,4.69,1.054
4360.0,4.52,33.318
4221.0,4.73,28.161
3746.0,4.78,26.683
4120.0,4.58,7.082
4149.0,4.75,24.465
4065.0,4.52,33.194
3747.0,4.7,40.327
4113.0,4.47,19.02
3635.0,4.83,15.768
4263.0,4.65,37.328
3690.0,4.82,26.048
3818.0,4.75,22.331
4058.0,4.69,14.249
3655.0,4.81,35.736
3487.0,4.9,44.591
3552.0,4.88,41.276
3388.0,4.92,37.226
3856.0,4.73,1.838
4318.0,4.66,13.01
3957.0,4.72,17.921
4198.0,4.62,19.71
3941.0,4.72,37.427
4312.0,4.49,8.479
4195.0,4.62,29.939
3683.0,4.79,29.141
3512.0,4.9,34.452
3915.0,4.71,43.062
4211.0,4.7,30.314
4213.0,4.73,31.084
3854.0,4.74,40.282
4391.0,4.61,3.11
4351.0,4.7,15.316
4155.0,4.52,14.672
4205.0,4.67,20.989
4369.0,4.71,27.996
4359.0,4.63,23.969
4267.0,4.8,31.236
3951.0,4.71,43.575
4199.0,4.46,19.244
3814.0,4.74,5.821
3644.0,4.82,33.144
3837.0,4.72,5.227
4273.0,4.53,1.688
3521.0,4.84,37.207
4401.0,4.57,33.995
3769.0,4.83,16.781
3991.0,4.68,31.906
4346.0,4.62,16.462
4396.0,4.59,27.088
3523.0,4.14,54.579
3462.0,4.85,19.64
3795.0,4.84,26.149
3658.0,4.81,39.309
3881.0,4.73,18.011
4198.0,4.64,10.74
4169.0,4.54,55.567
3588.0,4.87,30.28
4200.0,4.75,11.472
4226.0,4.62,13.123
4399.0,4.67,32.906
3726.0,4.82,32.99
3520.0,4.94,33.536
4243.0,4.48,19.235
4151.0,4.62,14.906
3782.0,4.81,33.559
3740.0,4.77,0.638
4165.0,4.55,0.497
4186.0,4.75,17.174
3628.0,4.8,33.811
4389.0,4.69,27.47
4333.0,4.66,13.061
3871.0,4.72,31.635
3984.0,4.72,22.842
4163.0,4.66,30.401
3815.0,4.76,23.633
4082.0,4.66,36.964
4070.0,4.41,40.756
4000.0,4.47,25.72
3610.0,4.8,33.532
4107.0,4.57,14.413
3455.0,4.92,37.726
4088.0,4.46,19.241
3508.0,4.95,26.84
4233.0,4.58,26.898
3713.0,4.38,38.626
3688.0,4.82,26.162
4221.0,4.62,38.957
4361.0,4.88,10.946
4393.0,4.75,25.558
4306.0,4.62,20.05
3758.0,4.74,42.527
4097.0,4.53,18.328
4149.0,4.59,23.988
