HIP,RAhms,DEdms,vmag,VarFlag,HD,spectral_type,tic,logg,teff,ra,dec,ms,rs,period
51257,10 28 12.37,-06 35 59.6,7.89,,90711.0,K0V,36954567.0,4.4183,5409.0,157.050616150112,-6.60057935243711,0.94,0.991854,15.404649758922641
7585,01 37 40.81,+12 04 42.1,6.77,,9986.0,G5V,346923890.0,4.41728,5787.0,24.4203303046357,12.0783809490683,1.04,1.04451,6.390804317663469
55848,11 26 46.70,+03 00 21.1,7.58,,99492.0,K2V,363549734.0,4.61698,5069.61,171.692826958068,3.00632140462052,0.85,0.750336,27.939542287946622
75134,15 21 12.84,-54 17 30.1,7.37,,136113.0,F6V,45512573.0,4.025,6372.85,230.303127258497,-54.2917623299437,1.27,1.81315,8.203051702624132
115147,23 19 26.02,+79 00 12.0,7.53,2.0,220140.0,G9V,428988656.0,4.631480000000002,5142.46,349.860993701549,79.0035197228585,0.87,0.74654,10.830463697972068
96085,19 32 06.56,-11 16 29.9,7.53,,183870.0,K2V,100711809.0,4.59973,5005.91,293.027934432451,-11.2749414445931,0.83,0.75632,31.772202557845887
72221,14 46 15.54,+09 38 50.6,7.26,,130145.0,G2V,366400689.0,4.5,5766.0,221.56517,9.64681,1.01900005340576,,13.20418707894907
22431,04 49 36.92,-53 52 55.5,7.64,,31027.0,K4V,259589304.0,4.57699,5266.0,72.40439492361901,-53.8815142997099,0.9,0.808463,24.65173735808437
12780,02 44 14.51,-25 29 43.9,6.96,,17134.0,G3V,65416950.0,3.95899,5669.0,41.06092042941809,-25.495401034655398,1.01,1.74462,8.935132771041095
8498,01 49 35.52,-46 46 08.1,7.93,,11264.0,G5V,160192236.0,4.30225,5717.42,27.3981765274894,-46.768662929313,1.02,1.18089,13.763244650887675
71743,14 40 31.17,-16 12 32.9,7.24,,128987.0,G6V,466493185.0,4.54892,5551.59,220.129609723702,-16.209292498255,0.98,0.871334,15.77350476495829
108870,22 03 17.44,-56 46 47.3,4.69,,209100.0,K5V,231698181.0,4.56527,4611.06,330.840220446792,-56.785980567754,0.73,0.738002,25.380044726000932
94645,19 15 33.15,-24 10 44.8,6.25,,179949.0,F8V,2288734.0,4.31761,6148.0,288.888458692897,-24.179353716464,1.17,1.24258,8.417990369796945
39157,08 00 32.24,+29 12 54.7,6.97,,65583.0,G8V,171523537.0,4.5628199999999985,5238.0,120.13387380135599,29.2123545331925,0.89,0.817186,18.897101533562317
110109,22 18 15.18,-53 37 31.9,5.36,,211415.0,G1V,231267777.0,4.4227,5855.88,334.565056034158,-53.6270739874802,1.06,1.04794,6.461623237004722
22787,04 54 04.12,-35 24 17.6,7.6,,31392.0,K0V,1334907.0,4.52216,5355.0,73.5175359471779,-35.4045176080086,0.93,0.875374,11.772805880053246
85425,17 27 22.08,-38 03 41.1,7.88,,157830.0,G5V,464013520.0,4.5715,5544.83,261.841474211241,-38.0614527846519,0.98,0.848983,12.584810522680442
115331,23 21 36.00,+44 05 50.5,7.36,2.0,220182.0,K1V,173925925.0,4.59154,5367.33,350.402141584477,44.0978827969801,0.93,0.808172,20.89247824470232
117944,23 55 25.58,-17 49 34.3,7.76,,224135.0,F7V,327950713.0,4.1878400000000005,6184.0,358.856618150383,-17.826000772824,1.18,1.44896,1.5653731903911832
45170,09 12 17.87,+14 59 43.6,6.49,,79096.0,G9V,35229531.0,4.4310002326965305,5427.7900390625,138.073119022651,14.9960397966621,0.04-0.074,,24.908805370306737
26060,05 33 30.36,-24 20 15.0,7.68,,36846.0,F7V,31375950.0,4.36848,6197.0,83.37652876258609,-24.3379165797941,1.19,1.18187,10.449594801878515
20712,04 26 18.43,+21 28 13.9,7.36,,28033.0,F8V,17418956.0,4.3025699999999985,6214.77,66.57707761176661,21.4704327047467,1.2,1.28039,8.21187091926208
75038,15 20 00.03,-08 39 40.4,7.53,,136257.0,F9V,36886075.0,4.25941,6050.57,230.000355179052,-8.66170559921995,1.13,1.30577,22.2816105537423
117029,23 43 26.61,+58 04 44.9,7.14,,222794.0,G2V,345518694.0,3.92614,5507.87,355.8626794470449,58.08029735988229,0.97,1.77561,16.852983531016648
55013,11 15 49.15,-39 19 26.3,7.36,,97998.0,G5V,151956235.0,4.5692900000000005,5734.96,168.95423713343,-39.3235039746612,1.02,0.868334,8.330915808908582
23437,05 02 17.11,-56 04 56.3,7.02,2.0,32778.0,G5V,220476607.0,4.56454,5652.0,75.5710140083413,-56.0805812487043,1,0.8645,13.080625770143376
79143,16 09 13.82,-71 04 07.1,7.23,1.0,144009.0,G8V,361082817.0,4.49202,5594.62,242.30608090890598,-71.06960720224029,0.99,0.935062,15.313427704955346
15510,03 19 53.22,-43 04 17.6,4.26,,20794.0,G8V,301051051.0,4.48396,5413.26,49.981886381926095,-43.0697982661662,0.94,0.919639,11.86301289753879
