teff,logg,period
3859.0,4.88,19.94
3817.0,4.98,28.93
5064.0,4.59,1.61
5124.0,4.58,20.0
4640.0,4.64,11.64
5965.0,4.24,10.92
3742.0,4.91,34.55
3828.0,4.94,31.89
4618.0,4.65,13.0
4107.0,4.82,23.81
4801.0,4.63,16.74
5148.0,4.62,25.18
4162.0,4.77,26.3
4819.0,4.6,23.71
3442.0,5.08,18.43
4045.0,4.8,22.2
3696.0,4.95,19.67
3465.0,5.01,32.72
3791.0,4.94,18.14
4534.0,4.68,32.72
5300.0,4.55,9.59
4124.0,4.81,33.53
4443.0,4.7,35.05
3598.0,5.05,31.05
4300.0,4.73,26.14
3719.0,4.91,30.64
4008.0,4.81,33.03
3993.0,4.85,28.56
4093.0,4.8,28.23
4822.0,4.61,32.03
4171.0,4.76,19.14
3953.0,4.88,29.31
4100.0,4.81,28.19
3848.0,4.93,30.66
4222.0,4.74,19.35
3705.0,4.97,19.94
5041.0,4.59,26.13
4916.0,4.61,8.67
3299.0,5.11,28.71
3628.0,5.01,37.41
3708.0,4.99,37.95
3713.0,4.99,36.59
3767.0,4.93,25.78
4357.0,4.73,25.37
3571.0,5.02,32.36
3863.0,4.86,28.42
3816.0,4.92,33.79
3697.0,4.98,36.17
5028.0,4.59,1.34
3968.0,4.84,4.84
4342.0,4.72,18.06
4962.0,4.59,21.53
3912.0,4.85,26.96
4698.0,4.63,12.81
4744.0,4.63,24.23
3425.0,5.08,31.92
4504.0,4.66,19.74
4148.0,4.77,35.64
4841.0,4.63,10.13
3636.0,4.97,23.28
5078.0,4.58,8.37
3723.0,4.93,16.81
3770.0,4.9,27.17
3740.0,4.95,6.95
3737.0,5.01,23.35
4066.0,4.81,13.97
5278.0,4.54,21.72
4564.0,4.64,13.67
3675.0,4.95,35.78
4741.0,4.62,27.7
5062.0,4.6,17.93
4126.0,4.78,24.08
5294.0,4.56,27.07
5360.0,4.55,31.2
6065.0,4.3,28.49
4561.0,4.66,27.92
3963.0,4.83,31.22
4315.0,4.73,23.24
4073.0,4.82,21.98
3639.0,5.06,33.75
5118.0,4.58,24.2
4181.0,4.78,19.24
4960.0,4.62,16.24
4057.0,4.87,23.52
3739.0,4.91,17.9
5488.0,4.51,7.14
3597.0,4.99,23.15
4128.0,4.79,23.13
3774.0,4.94,28.0
4408.0,4.71,15.55
3592.0,4.99,22.14
3536.0,5.05,25.62
3689.0,4.95,32.95
5242.0,4.56,19.78
3777.0,4.88,23.16
4086.0,4.79,29.9
4098.0,4.8,30.82
3940.0,4.85,33.33
4322.0,4.75,16.98
4351.0,4.72,17.75
5616.0,4.45,30.99
4376.0,4.71,15.28
3528.0,5.03,22.24
3485.0,5.07,5.52
5016.0,4.62,25.88
4152.0,4.77,37.9
3517.0,5.03,36.24
4709.0,4.64,25.76
4055.0,4.86,17.46
3527.0,4.95,2.68
3810.0,4.9,13.73
3278.0,5.12,26.36
4081.0,4.81,19.68
3395.0,5.13,27.66
4792.0,4.63,21.44
5709.0,4.4,15.06
3762.0,4.92,27.88
4034.0,4.83,32.45
3922.0,4.88,16.4
5046.0,4.6,11.48
4167.0,4.76,23.81
5019.0,4.61,24.42
3523.0,5.02,25.1
4249.0,4.72,21.94
3586.0,5.02,16.91
4156.0,4.77,24.09
4434.0,4.7,23.83
3626.0,4.98,16.52
4451.0,4.7,27.16
3837.0,4.92,18.22
4335.0,4.73,25.06
4175.0,4.78,25.8
4129.0,4.77,27.03
5784.0,4.43,19.87
3711.0,4.95,30.42
3802.0,4.92,31.65
3920.0,4.91,15.52
5174.0,4.51,18.3
4602.0,4.66,26.42
3874.0,4.86,22.99
4480.0,4.69,19.57
3746.0,4.9,31.23
3728.0,4.95,28.45
3898.0,4.88,23.78
3963.0,4.83,16.48
3534.0,4.96,2.73
5009.0,4.58,17.79
4409.0,4.7,7.74
3377.0,5.12,10.04
4615.0,4.66,21.59
3979.0,4.84,25.2
3696.0,5.02,27.97
3589.0,4.98,9.15
3828.0,4.94,22.21
4793.0,4.62,23.77
4125.0,4.8,25.92
3992.0,4.84,23.21
3590.0,4.99,27.28
5659.0,4.44,9.65
5587.0,4.46,23.25
3839.0,4.91,31.08
3870.0,4.91,18.79
3900.0,4.89,21.72
4420.0,4.7,25.36
3952.0,4.87,14.22
5931.0,4.26,24.66
3753.0,4.91,35.96
3662.0,4.95,17.33
3844.0,4.9,28.69
5333.0,4.47,11.75
4016.0,4.83,17.64
3647.0,5.01,31.28
3755.0,4.94,21.56
3816.0,4.97,36.87
4035.0,4.84,21.72
4858.0,4.59,10.94
4231.0,4.75,18.2
4159.0,4.78,16.34
4215.0,4.75,22.63
5291.0,4.58,29.48
4354.0,4.72,32.55
3750.0,4.93,21.0
3919.0,4.87,22.74
3419.0,5.1,21.12
3900.0,4.87,21.66
3999.0,4.83,6.48
5104.0,4.58,12.04
4319.0,4.74,23.56
4261.0,4.74,12.99
3658.0,5.0,31.71
3927.0,4.85,30.58
3765.0,4.92,28.72
4118.0,4.78,13.99
3742.0,4.93,27.43
4453.0,4.8,23.08
4691.0,4.65,18.55
5438.0,4.48,18.51
3945.0,4.85,26.76
3748.0,4.95,22.38
4060.0,4.82,13.89
4181.0,4.77,30.79
3942.0,4.86,31.38
3991.0,4.84,20.2
4018.0,4.83,18.11
3704.0,4.97,20.98
3687.0,4.95,36.25
4985.0,4.55,12.94
3710.0,4.95,30.53
4283.0,4.75,35.48
4095.0,4.8,29.94
3827.0,4.88,18.37
3740.0,4.96,6.15
4069.0,4.81,19.44
3369.0,5.08,28.57
3878.0,4.89,25.42
3313.0,5.1,25.63
4759.0,4.65,16.87
4129.0,4.78,15.45
5051.0,4.63,17.24
3437.0,5.11,34.87
3868.0,4.9,19.37
5426.0,4.53,24.88
5010.0,4.59,19.86
3838.0,4.95,35.79
4477.0,4.69,16.32
3903.0,4.88,33.77
4185.0,4.76,21.56
4459.0,4.72,20.13
5094.0,4.59,16.92
4134.0,4.79,22.27
4129.0,4.78,19.95
4087.0,4.81,28.46
5102.0,4.56,27.61
3607.0,4.97,18.0
3648.0,4.97,20.8
3922.0,4.89,30.29
5998.0,4.3,13.61
4194.0,4.76,13.65
3551.0,5.03,17.87
3624.0,4.99,18.17
5869.0,4.32,24.76
4487.0,4.63,13.82
4428.0,4.69,25.4
4059.0,4.96,21.58
4954.0,4.6,27.22
5894.0,4.33,12.61
5126.0,4.57,19.68
4543.0,4.67,21.6
4639.0,4.65,27.15
4420.0,4.7,21.42
5094.0,4.59,19.44
3920.0,4.87,14.22
3438.0,5.14,15.66
4016.0,4.83,28.39
4001.0,4.84,25.67
4366.0,4.72,4.86
5058.0,4.59,32.31
3974.0,4.82,29.89
3870.0,4.92,36.83
4102.0,4.8,21.53
5193.0,4.56,29.18
4914.0,4.62,22.33
4113.0,4.82,30.35
3561.0,5.05,21.82
3764.0,4.94,2.93
4735.0,4.63,19.79
5076.0,4.59,33.97
3354.0,5.1,12.92
4889.0,4.59,25.13
4116.0,4.79,28.5
4336.0,4.71,13.94
3762.0,4.88,18.72
3761.0,4.93,26.99
3841.0,4.91,19.89
4667.0,4.65,23.33
3502.0,5.05,25.82
4352.0,4.72,18.33
4093.0,4.8,22.12
4211.0,4.79,25.64
3450.0,5.09,32.91
4911.0,4.6,25.33
5011.0,4.57,17.92
4001.0,4.84,17.48
5394.0,4.54,28.03
5167.0,4.57,15.23
4945.0,4.61,24.19
4673.0,4.62,26.22
4416.0,4.69,27.89
3991.0,4.87,21.77
3973.0,4.84,13.07
4446.0,4.69,16.9
3860.0,4.86,32.82
3667.0,4.97,33.15
3834.0,4.97,36.85
5253.0,4.55,21.15
3916.0,4.86,13.84
4233.0,4.75,15.42
4038.0,4.83,6.7
3692.0,4.96,33.66
5070.0,4.57,28.43
4656.0,4.65,24.2
4192.0,4.79,20.14
5192.0,4.49,28.49
4077.0,4.78,15.46
3807.0,4.94,6.22
3942.0,4.85,23.26
5823.0,4.4,18.39
3871.0,4.89,13.75
4508.0,4.65,11.68
5039.0,4.62,22.39
3568.0,5.06,23.45
3808.0,4.89,21.94
4754.0,4.62,23.69
6181.0,4.27,1.74
4097.0,4.8,27.06
4200.0,4.96,15.24
5261.0,4.54,19.88
3765.0,4.93,20.19
3787.0,4.95,18.75
4275.0,4.69,21.5
5296.0,4.54,24.3
4247.0,4.76,31.49
4657.0,4.65,20.18
4816.0,4.63,26.58
5070.0,4.57,24.01
3572.0,5.01,33.26
4199.0,4.85,17.85
4143.0,4.8,27.5
3976.0,4.86,24.69
3942.0,4.88,22.04
3700.0,4.95,20.87
4057.0,4.82,16.19
5306.0,4.52,20.28
3517.0,5.02,2.45
3697.0,4.93,31.75
3842.0,4.92,32.95
4096.0,4.8,25.07
3340.0,5.11,16.68
3765.0,5.01,33.37
4059.0,4.81,20.29
4028.0,4.84,31.46
3660.0,5.01,33.62
4019.0,4.82,13.81
3684.0,5.0,33.77
3513.0,5.07,6.3
3934.0,4.89,27.93
3610.0,5.0,23.38
3862.0,4.92,25.96
3889.0,4.89,34.44
4100.0,4.79,23.96
3709.0,4.97,36.08
5268.0,4.58,11.81
4185.0,4.76,27.78
4328.0,4.72,19.49
4172.0,4.76,14.3
4914.0,4.61,19.95
5002.0,4.58,23.12
3459.0,5.06,33.8
5260.0,4.54,17.27
4042.0,4.83,19.9
4075.0,4.84,24.57
4080.0,4.8,18.22
4367.0,4.72,27.88
4818.0,4.6,25.99
5010.0,4.58,9.83
3570.0,5.03,24.14
3680.0,4.99,28.15
3972.0,4.87,31.25
4866.0,4.61,34.59
3611.0,5.02,22.07
4741.0,4.66,26.0
3543.0,5.02,35.96
4560.0,4.66,19.97
4063.0,4.83,20.99
5810.0,4.34,12.55
4142.0,4.78,24.05
3552.0,5.03,21.12
4140.0,4.82,21.31
3616.0,5.0,35.18
5477.0,4.49,12.78
3588.0,4.99,4.91
4035.0,4.83,20.22
4108.0,4.78,26.46
5416.0,4.48,8.2
3582.0,5.03,27.59
3693.0,4.94,21.08
3344.0,5.12,33.03
4026.0,4.84,21.37
4071.0,4.81,30.91
3963.0,4.88,20.28
3592.0,5.01,19.2
3842.0,4.91,34.24
3646.0,4.97,27.27
4971.0,4.59,23.57
5338.0,4.58,26.93
4404.0,4.71,23.54
3949.0,4.86,26.03
3999.0,4.84,18.5
5262.0,4.55,27.05
3838.0,4.87,19.55
4897.0,4.61,23.71
5999.0,4.24,14.39
3775.0,4.96,36.3
5771.0,4.44,9.91
5883.0,4.43,9.32
5943.0,4.27,5.77
4200.0,4.77,15.42
5605.0,4.5,20.88
4171.0,4.76,17.72
3962.0,4.84,14.11
6038.0,4.27,24.09
4161.0,4.79,13.56
4006.0,4.84,16.79
3984.0,4.84,23.79
