,teff,logg,period
50222,6179.0,4.2,27.8
50223,4816.0,4.62,16.47
50224,3584.0,5.0,36.82
50225,5162.0,4.54,7.31
50226,5737.0,4.4,8.94
50227,5177.0,4.56,21.49
50228,3897.0,4.89,28.22
50229,3578.0,5.04,22.67
50230,3610.0,4.99,7.61
50231,6063.0,4.23,10.64
50232,3961.0,4.83,28.31
50233,3856.0,4.88,17.85
50234,5302.0,4.51,5.3
50235,4051.0,4.87,22.64
50236,3936.0,4.85,5.79
50237,4378.0,4.73,26.85
50238,5062.0,4.56,21.26
50239,5644.0,4.44,26.22
50240,4431.0,4.72,30.96
50241,4145.0,4.8,19.14
50242,5469.0,4.53,23.37
50243,4146.0,4.78,19.56
50244,5883.0,4.35,13.81
50245,3980.0,4.85,22.09
50246,3679.0,4.96,32.72
50247,4185.0,4.76,18.72
50248,5158.0,4.56,23.33
50249,5095.0,4.59,27.3
50250,3414.0,5.06,32.25
50251,4196.0,4.76,15.29
50252,3415.0,5.08,37.06
50253,3664.0,4.98,17.89
50254,4921.0,4.6,16.6
50255,3595.0,4.98,23.34
50256,4761.0,4.61,11.6
50257,4779.0,4.63,23.14
50258,5730.0,4.43,27.25
50259,4329.0,4.72,3.47
50260,4073.0,4.84,26.82
50261,3607.0,5.0,32.69
50262,3928.0,4.88,35.98
50263,4939.0,4.71,26.66
50264,3888.0,4.89,21.2
50265,6175.0,4.23,3.68
50266,4116.0,4.8,18.16
50267,3797.0,4.91,34.99
50268,3782.0,4.92,11.46
50269,6191.0,4.25,3.43
50270,4369.0,4.71,1.85
50271,4009.0,4.82,17.48
50272,4614.0,4.66,12.21
50273,3853.0,4.89,25.31
50274,4000.0,4.83,28.13
50275,3977.0,4.91,28.86
50276,3722.0,4.96,27.88
50277,4720.0,4.62,27.53
50278,4119.0,4.8,2.9
50279,3841.0,4.86,30.04
50280,5261.0,4.41,17.65
50281,4389.0,4.68,17.98
50282,3836.0,4.9,33.37
50283,4760.0,4.61,22.87
50284,5644.0,4.39,17.96
50285,3652.0,4.97,21.04
50286,4681.0,4.64,21.29
50287,5147.0,4.54,19.78
50288,3828.0,4.9,26.93
50289,3625.0,4.95,25.13
50290,5915.0,4.36,7.94
50291,4009.0,4.83,16.85
50292,3724.0,4.94,16.54
50293,4583.0,4.65,12.73
50294,5345.0,4.53,35.94
50295,3863.0,4.86,23.28
50296,5078.0,4.59,16.6
50297,3945.0,4.86,18.91
50298,5449.0,4.51,23.44
50299,3912.0,4.86,27.58
50300,4702.0,4.65,25.12
50301,4566.0,4.67,19.39
50302,3906.0,4.87,25.4
50303,3545.0,5.03,23.23
50304,3981.0,4.83,23.18
50305,4849.0,4.6,23.38
50306,3620.0,5.02,8.83
50307,3985.0,4.83,16.44
50308,3660.0,4.96,24.09
50309,4154.0,4.78,17.83
50310,3808.0,4.88,20.97
50311,3908.0,4.84,34.93
50312,3937.0,4.86,18.84
50313,3488.0,5.05,16.6
50314,3740.0,4.92,20.79
50315,3849.0,4.93,16.87
50316,5188.0,4.54,28.08
50317,3733.0,4.94,32.85
50318,6007.0,4.34,8.07
50319,4024.0,4.83,23.32
50320,3601.0,5.0,39.08
50321,5300.0,4.55,6.66
50322,5910.0,4.44,5.23
50323,5320.0,4.53,4.5
50324,4891.0,4.65,10.98
50325,5133.0,4.58,19.38
50326,3734.0,4.97,10.86
50327,4125.0,4.79,26.4
50328,4427.0,4.69,26.49
50329,4297.0,4.74,11.6
50330,4964.0,4.6,18.41
50331,3540.0,5.04,23.42
50332,5458.0,4.52,28.3
50333,3286.0,5.14,28.22
50334,4734.0,4.62,17.52
50335,5113.0,4.57,26.18
50336,5215.0,4.55,25.05
50337,3925.0,4.85,21.08
50338,5185.0,4.51,21.78
50339,4449.0,4.7,28.75
50340,3789.0,4.91,35.56
50341,4377.0,4.7,25.35
50342,4618.0,4.66,29.61
50343,4143.0,4.78,22.92
50344,4246.0,4.74,30.38
50345,3592.0,5.06,19.11
50346,3985.0,4.9,21.59
50347,3585.0,5.0,4.75
50348,4649.0,4.81,8.27
50349,3433.0,5.07,24.38
50350,5400.0,4.52,27.53
50351,4214.0,4.77,16.68
50352,3548.0,5.02,19.74
50353,4623.0,4.66,16.6
50354,4121.0,4.81,36.5
50355,4202.0,4.76,23.07
50356,4596.0,4.64,12.52
50357,5186.0,4.64,7.58
50358,6033.0,4.33,4.91
50359,4187.0,4.75,21.02
50360,5926.0,4.3,11.11
50361,3932.0,4.86,28.91
50362,4494.0,4.68,37.97
50363,3955.0,4.85,15.97
50364,5100.0,4.57,20.85
50365,4638.0,4.65,24.7
50366,4269.0,4.74,37.53
50367,4904.0,4.61,3.71
50368,4160.0,4.77,26.04
50369,3699.0,4.98,29.43
50370,3724.0,4.93,36.05
50371,5099.0,4.58,16.72
50372,4216.0,4.79,33.29
50373,5252.0,4.53,27.69
50374,4328.0,4.74,14.58
50375,5851.0,4.4,15.32
50376,5689.0,4.45,21.92
50377,5054.0,4.57,14.78
50378,3738.0,4.98,24.68
50379,3942.0,4.84,14.99
50380,5326.0,4.54,23.52
50381,3946.0,4.84,16.5
50382,5889.0,4.36,16.83
50383,3633.0,5.02,21.31
50384,3945.0,4.86,22.7
50385,3848.0,4.91,20.45
50386,5614.0,4.57,21.0
50387,3783.0,4.93,22.82
50388,3783.0,4.92,23.5
50389,3722.0,4.92,6.99
50390,3417.0,5.07,17.23
50391,3842.0,4.94,19.85
50392,3841.0,4.92,19.66
50393,4954.0,4.59,15.85
50394,4627.0,4.65,22.11
50395,3524.0,5.05,15.1
50396,3896.0,4.85,16.35
50397,3595.0,5.0,18.05
50398,4925.0,4.6,13.41
50399,3468.0,5.06,18.3
50400,4914.0,4.68,22.5
50401,3973.0,4.87,21.96
50402,4118.0,4.79,24.44
50403,3818.0,4.92,19.55
50404,3559.0,5.03,21.47
50405,3690.0,4.97,20.17
50406,3617.0,5.02,24.15
50407,5461.0,4.55,10.56
50408,4198.0,4.76,12.38
50409,3607.0,5.01,20.39
50410,5651.0,4.46,5.93
50411,3815.0,4.9,24.99
50412,5741.0,4.47,8.81
50413,4740.0,4.64,20.79
50414,4081.0,4.82,19.98
50415,4218.0,4.79,23.63
50416,3488.0,5.06,3.49
50417,3568.0,5.02,24.42
50418,3732.0,4.96,21.69
50419,3495.0,5.04,4.17
50420,5098.0,4.57,23.92
50421,5046.0,4.59,20.72
50422,3739.0,4.93,22.25
50423,5790.0,4.44,15.0
50424,5990.0,4.22,23.94
50425,5192.0,4.56,22.71
50426,5806.0,4.46,17.75
50427,3684.0,4.97,22.34
50428,5814.0,4.42,20.91
50429,5235.0,4.59,22.82
50430,4589.0,4.64,16.79
50431,5004.0,4.6,20.34
50432,5691.0,4.47,4.77
50433,5733.0,4.45,21.66
50434,5480.0,4.5,14.45
50435,5209.0,4.57,24.31
50436,5702.0,4.47,15.8
50437,5833.0,4.4,17.77
50438,3815.0,4.91,18.63
50439,5878.0,4.43,18.85
50440,4812.0,4.62,16.46
50441,3677.0,5.0,18.25
50442,5927.0,4.29,13.54
50443,5565.0,4.53,18.45
50444,3396.0,5.09,7.07
50445,5048.0,4.61,22.95
50446,4628.0,4.65,24.6
50447,5251.0,4.59,11.04
50448,4757.0,4.62,22.36
50449,5305.0,4.58,16.92
50450,3625.0,5.01,17.45
50451,4570.0,4.67,15.58
50452,4858.0,4.61,20.93
50453,3899.0,4.88,15.69
50454,5670.0,4.46,18.76
50455,3842.0,4.89,17.4
50456,4645.0,4.65,21.91
50457,3988.0,4.86,15.47
50458,5009.0,4.59,14.98
50459,4301.0,4.72,20.96
50460,4064.0,4.82,23.37
50461,4758.0,4.62,19.54
50462,4745.0,4.6,21.24
50463,5452.0,4.5,8.52
50464,4385.0,4.69,19.51
50465,3919.0,4.86,2.52
50466,4924.0,4.61,12.68
50467,3774.0,4.93,19.1
50468,4910.0,4.59,22.18
50469,6174.0,4.32,6.06
50470,3893.0,4.89,22.87
50471,4806.0,4.63,9.36
50472,3891.0,4.92,20.78
50473,4278.0,4.73,18.33
50474,3496.0,5.05,4.42
50475,5745.0,4.39,22.75
50476,4149.0,4.78,21.57
50477,5431.0,4.53,12.6
50478,3648.0,4.98,24.0
50479,3737.0,4.96,22.78
50480,4412.0,4.7,20.79
50481,4123.0,4.79,20.13
50482,5171.0,4.57,6.23
50483,5055.0,4.61,24.42
50484,5020.0,4.61,18.46
50485,3655.0,4.98,4.93
50486,3766.0,4.92,21.57
50487,3763.0,4.96,15.32
50488,3765.0,4.93,19.44
50489,3633.0,4.99,20.76
50490,5209.0,4.58,24.59
50491,3907.0,4.89,23.4
50492,3541.0,5.03,16.83
50493,5317.0,4.54,14.14
50494,4812.0,4.63,20.65
50495,4865.0,4.61,21.48
50496,3810.0,4.9,16.92
50497,6032.0,4.28,5.23
50498,4334.0,4.72,21.77
50499,3690.0,4.99,14.65
50500,3499.0,5.06,5.43
50501,3633.0,4.97,16.33
50502,3838.0,4.89,20.49
50503,5406.0,4.55,6.3
50504,5786.0,4.4,21.44
50505,3864.0,4.88,19.52
50506,4018.0,4.84,16.35
50507,5426.0,4.53,9.61
50508,3822.0,4.88,16.97
50509,5631.0,4.4,15.67
50510,3718.0,4.93,19.11
50511,3567.0,5.0,17.01
50512,4830.0,4.61,20.91
50513,3849.0,4.92,22.05
50514,4820.0,4.62,14.92
50515,4779.0,4.62,16.72
